Corrida,Objetivo1,Objetivo2
corrida_1,106089.27524499997,84291.18976999995
corrida_1,103807.385771,85111.76459799995
corrida_1,119440.45776299997,80421.01474999997
corrida_1,103681.98473099997,85237.00522299994
corrida_1,95636.49195699998,89101.69533399999
corrida_1,88967.492389,97419.46381899998
corrida_1,105009.81906399995,84702.96519899995
corrida_1,103233.92712399998,86285.06215499998
corrida_1,95124.34691899997,89730.45382399998
corrida_1,93034.780764,93293.94261599997
corrida_1,95636.49195699998,89101.69533399999
corrida_1,103233.92712399998,86285.06215499998
corrida_1,95636.49195699998,89101.69533399999
corrida_1,95636.49195699998,89101.69533399999
corrida_1,93403.10272899998,91567.17783299997
corrida_1,95636.49195699998,89101.69533399999
corrida_1,95636.49195699998,89101.69533399999
corrida_1,99043.48686399998,86547.741812
corrida_1,95636.49195699998,89101.69533399999
corrida_1,103277.06906199998,85840.44204999998
corrida_1,94762.14607899997,89963.51027999996
corrida_1,92270.02402999999,94355.48771399999
corrida_1,93636.27151299997,90280.92965899999
corrida_1,108937.43750799996,81796.76199899998
corrida_1,94887.63771299997,89875.53349899997
corrida_1,96170.30913699997,89064.13062199998
corrida_1,99043.48686399998,86547.741812
corrida_1,95636.49195699998,89101.69533399999
corrida_1,98392.11205299998,87679.46537599998
corrida_1,102997.21791799998,86430.14182999998
corrida_1,89508.531964,94417.13882699997
corrida_2,82889.46907500002,97250.93939500001
corrida_2,82889.46907500002,97250.93939500001
corrida_2,83972.62853100001,94666.61321400001
corrida_2,83972.62853100001,94666.61321400001
corrida_2,82337.40406100002,98076.79930700002
corrida_2,83972.62853100001,94666.61321400001
corrida_2,92832.46155000002,91448.36789800001
corrida_2,83055.32277800002,95337.61424600001
corrida_2,82917.58499300001,96227.83638300002
corrida_2,82889.46907500002,97250.93939500001
corrida_2,85734.96018400001,92299.40809400003
corrida_2,89067.62688300002,91868.379564
corrida_2,92832.46155000002,91448.36789800001
corrida_2,82889.46907500002,97250.93939500001
corrida_2,85031.23153000002,93629.008294
corrida_2,82889.46907500002,97250.93939500001
corrida_2,82917.58499300001,96227.83638300002
corrida_3,100116.73339999998,105482.24309799996
corrida_3,97581.98100199997,113223.46930099998
corrida_3,97717.06584499999,110496.52533199998
corrida_3,132944.793725,91764.45687400001
corrida_3,133741.89504299997,90978.25218400003
corrida_3,138175.70290400003,89238.05331500001
corrida_3,97403.29043999997,113818.50488599995
corrida_3,136284.806052,89725.575142
corrida_3,135945.933574,90676.75351
corrida_3,106372.60079499995,97283.51084599999
corrida_3,107278.18055499997,93681.79973299999
corrida_3,105640.33414299996,98228.15593300003
corrida_3,100810.17338299997,105067.76160999997
corrida_3,103493.87635099996,100577.883439
corrida_3,105955.96076999998,97563.56567800001
corrida_3,110819.13998099996,92543.53460500001
corrida_3,110819.13998099996,92543.53460500001
corrida_3,105955.96076999998,97563.56567800001
corrida_3,99611.79822399994,107725.83363099996
corrida_3,100061.34653399995,107516.35968599998
corrida_3,100061.34653399995,107516.35968599998
corrida_3,99611.79822399994,107725.83363099996
corrida_3,104674.63742899995,98463.856401
corrida_3,104674.63742899995,98463.856401
corrida_3,104674.63742899995,98463.856401
corrida_3,99080.24689299993,107821.39874699997
corrida_3,100061.34653399995,107516.35968599998
corrida_3,104043.59273199993,99087.335786
corrida_3,110816.12637599996,92976.18257800002
corrida_3,100061.34653399995,107516.35968599998
corrida_3,98288.63681299999,109694.20423199996
corrida_3,100987.67184599994,102565.723902
corrida_4,131253.550973,93458.90569
corrida_4,105989.85933299999,97252.54703999998
corrida_4,92274.68015700001,106370.703655
corrida_4,106631.711427,93644.67171099999
corrida_4,87919.13619300003,110005.691187
corrida_4,93631.32567700002,101934.93141600002
corrida_4,92274.68015700001,106370.703655
corrida_4,87919.13619300003,110005.691187
corrida_4,96705.14603500001,100805.63653100001
corrida_4,88103.60086200004,110003.505846
corrida_4,98425.77595000001,98636.68223100003
corrida_4,86643.33133900003,119762.57618200003
corrida_4,87919.13619300003,110005.691187
corrida_4,98129.687768,100191.822875
corrida_4,106188.14278800001,97051.54218199998
corrida_4,87617.06924400004,110715.689772
corrida_4,92187.144636,106501.82321300001
corrida_4,87739.20006900003,110561.170355
corrida_4,86643.33133900003,119762.57618200003
corrida_4,89442.58447200003,106818.08992000001
corrida_4,92187.144636,106501.82321300001
corrida_4,86643.33133900003,119762.57618200003
corrida_4,93613.44573000002,104966.57499900002
corrida_4,87204.45068000004,110966.54346900001
corrida_4,92187.144636,106501.82321300001
corrida_4,98425.77595000001,98636.68223100003
corrida_4,86643.33133900003,119762.57618200003
corrida_4,92187.144636,106501.82321300001
corrida_4,99710.273404,97787.83505100005
corrida_4,90174.38506700002,106618.49931600002
corrida_4,86643.33133900003,119762.57618200003
promedio,88837.87955725001,107269.3360485
promedio,89155.828345,106163.53092625
promedio,89879.97257225,105466.38215575
promedio,90214.05449775001,105000.41560625
promedio,90504.03750899999,104100.52303925
promedio,90835.49737299999,101556.0615385
promedio,91227.14963499998,101158.2175165
promedio,91401.44232724998,101045.22498074999
promedio,91540.03810599999,100647.52973575
promedio,91897.40080374999,100322.58985525
promedio,91897.40080374999,100322.58985525
promedio,91957.3636875,99813.51437299998
promedio,92730.12033549999,98654.1387895
promedio,93133.37726349998,97646.33166150001
promedio,95096.28495674998,97012.4453875
promedio,96174.92271874998,96534.80555775
promedio,96332.68389299998,96378.9357115
