Corrida,Objetivo1,Objetivo2
corrida_1,119790.71128899997,94722.13924900001
corrida_1,102563.48849499995,96550.62951999999
corrida_1,102229.41686899996,96922.263595
corrida_1,96052.15144799995,101072.15650399997
corrida_1,97976.21346599994,98733.77180199999
corrida_1,92228.70266099996,101934.639551
corrida_1,88213.06232199995,104464.268447
corrida_1,98863.38151599996,98050.63020899997
corrida_1,92028.35436799996,103225.01609599998
corrida_1,89507.45387199995,103507.84303099997
corrida_1,98863.38151599996,98050.63020899997
corrida_1,96052.15144799995,101072.15650399997
corrida_1,96052.15144799995,101072.15650399997
corrida_1,96367.93921599996,99750.30979799999
corrida_1,96052.15144799995,101072.15650399997
corrida_1,95328.32651499995,101330.49238099999
corrida_1,96052.15144799995,101072.15650399997
corrida_1,95328.32651499995,101330.49238099999
corrida_1,88903.97376299996,104246.52172399999
corrida_1,95328.32651499995,101330.49238099999
corrida_1,96367.93921599996,99750.30979799999
corrida_1,95328.32651499995,101330.49238099999
corrida_1,95328.32651499995,101330.49238099999
corrida_1,87824.65689499995,104660.45683199998
corrida_1,95328.32651499995,101330.49238099999
corrida_1,105396.42340799997,95011.876893
corrida_1,94995.27300399994,101337.14229399998
corrida_1,95328.32651499995,101330.49238099999
corrida_1,96674.50381399995,99634.10848499996
corrida_1,95328.32651499995,101330.49238099999
corrida_1,95328.32651499995,101330.49238099999
corrida_1,96052.15144799995,101072.15650399997
corrida_2,124537.28226200002,93631.88585400004
corrida_2,105163.86865,99635.52616100002
corrida_2,105163.86865,99635.52616100002
corrida_2,85279.98242399997,123599.47312299997
corrida_2,85279.72347599997,123802.883933
corrida_2,85883.45136499997,119056.09383699998
corrida_2,90701.16927399997,110717.100586
corrida_2,114193.72769100001,93690.41071200001
corrida_2,88879.03456999997,115055.940163
corrida_2,96640.106269,103320.91762300004
corrida_2,87717.11857099997,118290.03828600001
corrida_2,87457.95718499996,118541.94238599995
corrida_2,96100.06396199999,103845.21630200002
corrida_2,93488.02532299998,105531.48278600004
corrida_2,91218.95912199996,107481.56676500001
corrida_2,96724.262688,102689.11518500005
corrida_2,90885.29263699996,108552.651054
corrida_2,97111.58107,99708.01093400005
corrida_2,89608.14911999999,111165.26911499999
corrida_2,106495.514389,97262.64192400003
corrida_3,103825.059109,89337.255158
corrida_3,90952.15843999998,100975.437336
corrida_3,104769.95980200003,88513.32793100002
corrida_3,91779.99285900003,95504.595357
corrida_3,91114.47685400002,99494.124993
corrida_3,98968.91606200002,89739.89911800002
corrida_3,90178.441351,102370.55338899998
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,98968.91606200002,89739.89911800002
corrida_3,92226.34441900002,94882.48869700001
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,93192.534924,93364.597393
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,94082.24597700004,91600.97082999999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,96423.43573700002,91495.322329
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,97105.357437,90704.602493
corrida_3,92988.22694800001,94415.43847499999
corrida_3,92988.22694800001,94415.43847499999
corrida_4,83275.54360800002,91331.45224699996
corrida_4,81830.57081600002,94599.79130799997
corrida_4,84109.80725300002,90363.54584699999
corrida_4,92495.57620800001,85533.134243
corrida_4,81769.29144000002,95652.22761599995
corrida_4,85681.00110200002,90009.32613199996
corrida_4,100868.02012800005,83191.78467899997
corrida_4,90472.01746399999,85891.908205
corrida_4,92503.37036700002,84900.12962299996
corrida_4,89300.38397400001,86020.324081
corrida_4,106594.61275700004,80618.43074199997
corrida_4,102449.68453300002,81994.66892699996
corrida_4,108975.87456800003,79971.67433899996
corrida_4,92517.156322,84786.21308400002
corrida_4,92517.156322,84786.21308400002
corrida_4,92517.156322,84786.21308400002
corrida_4,91047.64586200002,85805.67136399997
corrida_4,93904.38342100002,83826.34022799997
corrida_4,104436.53894200004,81212.53570499997
corrida_4,110504.98448000003,79660.16916799996
corrida_4,106857.17668000005,80094.77527999999
corrida_4,86472.389406,88308.21309599996
corrida_4,92517.156322,84786.21308400002
corrida_4,93904.38342100002,83826.34022799997
corrida_4,86639.385585,86983.01727699999
corrida_4,94828.241252,83304.81539499998
corrida_4,101865.39264400004,82868.95965499998
corrida_5,88421.88354099997,94945.61464000001
corrida_5,83635.32281599999,97776.89586500003
corrida_5,91401.27359999997,93163.73773399998
corrida_5,115125.03626600004,85867.30920699995
corrida_5,79098.27964600001,103128.80973900002
corrida_5,93862.00977299997,91743.58084900002
corrida_5,90470.49375800001,94502.10856600001
corrida_5,87650.44634599998,97107.68914100002
corrida_5,110919.79539000003,86386.89673699997
corrida_5,110919.79539000003,86386.89673699997
corrida_5,94877.91113299996,90567.055783
corrida_5,88378.615295,97050.02477900003
corrida_5,77027.64098400001,105886.16416700001
corrida_5,94921.21626099997,90035.964523
corrida_5,94400.36315399999,90579.090592
corrida_5,91311.93719399997,94089.15677999998
corrida_5,91868.21402300001,91993.743409
corrida_5,87650.44634599998,97107.68914100002
corrida_5,94877.91113299996,90567.055783
corrida_5,94921.21626099997,90035.964523
corrida_5,93635.89860099998,91923.98517700002
corrida_5,87650.44634599998,97107.68914100002
corrida_5,72777.910797,108434.58286300002
corrida_5,93881.87663799997,90915.07655500002
corrida_5,95128.00551,88053.595235
corrida_5,82005.722101,102761.70373100003
corrida_5,81755.26913800002,103094.39167400001
corrida_5,77406.799432,104738.72428100005
corrida_5,77027.64098400001,105886.16416700001
corrida_5,99363.26258600001,87055.426495
corrida_5,93635.89860099998,91923.98517700002
promedio,103970.09596179999,92793.6694296
promedio,92829.08184339998,97907.656038
promedio,97534.8652348,93719.68025359999
promedio,96146.54784099999,98315.33368679999
promedio,87047.59697639999,104162.36361659998
promedio,91324.81619259999,98496.70789739999
promedio,92086.23736659999,99049.1631334
promedio,97656.98609079998,93089.048152
promedio,95463.75632860001,96796.68421879997
promedio,96694.61938840001,93988.116793
promedio,96208.25018499998,96388.318699
promedio,93465.3270818,98614.84621419998
promedio,95424.9294048,96103.022086
promedio,93904.13630819999,94997.29177760001
promedio,93435.37139879998,95666.893084
promedio,93773.98193339999,95462.083181
promedio,92568.30618359998,96367.93216119998
promedio,93396.59286,95277.5942318
promedio,94162.95998119998,96321.36416039999
promedio,100871.07981639999,91798.7740978
