Corrida,Objetivo1,Objetivo2
corrida_1,99225.89935099999,100578.644299
corrida_1,97676.70712799998,103993.07575599999
corrida_1,110316.92474700003,97103.463501
corrida_1,97514.56561799998,111293.84113700002
corrida_1,102104.603171,99326.28973700003
corrida_1,100712.645936,99424.82503800001
corrida_1,97514.56561799998,111293.84113700002
corrida_1,102104.603171,99326.28973700003
corrida_1,97182.59380299995,115586.811554
corrida_1,102148.665086,98438.56242999999
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,97514.56561799998,111293.84113700002
corrida_1,97232.37416699999,113184.70911100002
corrida_1,106357.72593200003,97432.79769299996
corrida_1,102104.603171,99326.28973700003
corrida_1,97676.70712799998,103993.07575599999
corrida_1,97602.81325599998,109534.40233400001
corrida_1,100712.645936,99424.82503800001
corrida_1,105426.326965,98110.65541199996
corrida_1,110044.62883700001,97304.25018899997
corrida_1,99417.91055200002,100471.00040900001
corrida_1,105426.326965,98110.65541199996
corrida_1,97514.56561799998,111293.84113700002
corrida_1,97232.37416699999,113184.70911100002
corrida_1,98980.598426,102003.522853
corrida_1,110316.92474700003,97103.463501
corrida_1,97676.70712799998,103993.07575599999
corrida_1,97232.37416699999,113184.70911100002
corrida_1,102104.603171,99326.28973700003
corrida_1,97602.81325599998,109534.40233400001
corrida_1,97232.37416699999,113184.70911100002
corrida_1,99225.89935099999,100578.644299
corrida_1,105426.326965,98110.65541199996
corrida_1,99225.89935099999,100578.644299
corrida_1,97036.28652599997,116568.79056200001
corrida_1,102104.603171,99326.28973700003
corrida_1,97602.81325599998,109534.40233400001
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,104840.64427699997,98373.49378
corrida_1,102148.665086,98438.56242999999
corrida_1,97514.56561799998,111293.84113700002
corrida_1,102104.603171,99326.28973700003
corrida_1,97042.22824399998,116511.35495900002
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,99225.89935099999,100578.644299
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,105426.326965,98110.65541199996
corrida_1,102148.665086,98438.56242999999
corrida_1,98692.662911,103030.031176
corrida_1,102148.665086,98438.56242999999
corrida_1,110044.62883700001,97304.25018899997
corrida_1,97232.37416699999,113184.70911100002
corrida_1,97182.59380299995,115586.811554
corrida_1,102104.603171,99326.28973700003
corrida_1,102104.603171,99326.28973700003
corrida_1,97232.37416699999,113184.70911100002
corrida_1,102148.665086,98438.56242999999
corrida_1,102104.603171,99326.28973700003
corrida_1,97042.22824399998,116511.35495900002
corrida_1,110044.62883700001,97304.25018899997
corrida_2,116534.40815500006,102044.14541
corrida_2,101400.50712000004,118154.834304
corrida_2,109551.04755600003,108275.97524400004
corrida_2,97979.55058400003,120285.67030499996
corrida_2,111241.03625800007,107405.96415400002
corrida_2,113851.40735200004,104322.92540200004
corrida_2,101594.28345200005,116477.69714500003
corrida_2,97556.42867900003,123063.38084399998
corrida_2,119786.15709800004,100672.16286200003
corrida_2,102547.29968000003,112723.935771
corrida_2,112037.47518900005,104938.97608800002
corrida_2,104854.85762100006,109591.74093700002
corrida_2,108797.80474200005,108680.93301500003
corrida_2,98746.001268,119001.17196199998
