Corrida,Objetivo1,Objetivo2
corrida_1,195207.32347699997,173028.923681
corrida_1,181745.60885399996,187911.6440240001
corrida_1,181745.60885399996,187911.6440240001
corrida_1,188418.5269519999,180086.63130200002
corrida_1,181745.60885399996,187911.6440240001
corrida_1,177979.63739799993,192600.13161500005
corrida_1,184692.86660299997,183573.44719500007
corrida_1,181745.60885399996,187911.6440240001
corrida_1,184692.86660299997,183573.44719500007
corrida_1,181745.60885399996,187911.6440240001
corrida_1,184692.86660299997,183573.44719500007
corrida_1,175981.81128499992,195144.83712400004
corrida_1,181745.60885399996,187911.6440240001
corrida_1,184692.86660299997,183573.44719500007
corrida_1,177979.63739799993,192600.13161500005
corrida_1,175331.51779299998,179658.2959920001
corrida_2,193026.32768699998,179458.07446999996
corrida_2,198658.79480099998,178306.829486
corrida_2,193026.32768699998,179458.07446999996
corrida_2,173137.488029,191204.26568799998
corrida_2,198658.79480099998,178306.829486
corrida_2,198658.79480099998,178306.829486
corrida_2,198658.79480099998,178306.829486
corrida_2,169256.802745,161944.312204
corrida_2,193026.32768699998,179458.07446999996
corrida_2,173137.488029,191204.26568799998
corrida_2,193026.32768699998,179458.07446999996
corrida_2,198658.79480099998,178306.829486
corrida_2,198658.79480099998,178306.829486
corrida_2,172911.38079099997,195201.96286899998
corrida_2,192278.23489099997,190406.16460300004
corrida_2,198658.79480099998,178306.829486
corrida_2,193026.32768699998,179458.07446999996
corrida_2,198658.79480099998,178306.829486
corrida_2,198658.79480099998,178306.829486
corrida_2,198658.79480099998,178306.829486
corrida_2,193900.76555699998,179227.80493399999
corrida_3,191672.79960700002,169079.9925649999
corrida_3,179571.54464300006,193045.10405599998
corrida_3,177331.92566800004,193741.59568600002
corrida_3,171805.57752299999,199236.45116500003
corrida_3,190289.68722900006,188012.5423629999
corrida_3,190289.68722900006,188012.5423629999
corrida_3,179571.54464300006,193045.10405599998
corrida_3,191672.79960700002,169079.9925649999
corrida_3,168304.62772800002,199312.69824000003
corrida_3,191672.79960700002,169079.9925649999
corrida_3,192542.736691,168229.9088859999
corrida_3,191672.79960700002,169079.9925649999
corrida_3,192542.736691,168229.9088859999
corrida_3,192542.736691,168229.9088859999
corrida_3,168966.56338500004,197385.57828700004
corrida_3,191672.79960700002,169079.9925649999
corrida_3,168304.62772800002,199312.69824000003
corrida_3,189962.43458200005,191101.36861099995
corrida_3,192542.736691,168229.9088859999
corrida_3,172278.328542,195520.056571
corrida_3,168304.62772800002,199312.69824000003
corrida_3,190289.68722900006,188012.5423629999
corrida_3,175914.94108700004,193960.36980599992
corrida_3,167821.82511,200948.958415
corrida_3,192542.736691,168229.9088859999
corrida_4,162614.13549599997,205553.36288899992
corrida_4,186708.257953,186094.61015600007
corrida_4,162614.13549599997,205553.36288899992
corrida_4,203756.181519,177154.94496099997
corrida_4,188544.5428980001,183025.7515710001
corrida_4,184845.82889199996,168805.42200800002
corrida_4,186839.66465899997,185358.73638300004
corrida_4,172988.75402099994,190886.77702100005
corrida_4,173310.38107599993,188352.14867000005
corrida_4,162614.13549599997,205553.36288899992
corrida_4,162614.13549599997,205553.36288899992
corrida_4,203756.181519,177154.94496099997
corrida_4,203756.181519,177154.94496099997
corrida_4,162614.13549599997,205553.36288899992
corrida_4,162614.13549599997,205553.36288899992
corrida_4,172988.75402099994,190886.77702100005
corrida_4,166273.08027500001,196827.74811299998
corrida_4,162614.13549599997,205553.36288899992
corrida_4,162614.13549599997,205553.36288899992
corrida_4,200969.86082399997,177888.20606300002
corrida_4,171588.075383,198025.9243269999
corrida_4,162614.13549599997,205553.36288899992
corrida_4,186839.66465899997,185358.73638300004
corrida_4,189913.70198500008,181521.25185700008
corrida_4,172757.843441,191840.33725999997
corrida_4,162614.13549599997,205553.36288899992
corrida_4,162614.13549599997,205553.36288899992
corrida_4,162614.13549599997,205553.36288899992
corrida_4,201508.61030000003,177729.15045499997
corrida_4,188544.5428980001,183025.7515710001
corrida_4,170753.93243899997,201411.7954079999
corrida_4,194916.72053,178613.40378799997
corrida_5,180436.94817100008,197574.73741199996
corrida_5,206636.735485,167720.63988900004
corrida_5,172126.54922600006,198331.33263399993
corrida_5,200148.930797,174518.44845400006
corrida_5,206711.1710429999,155648.94488400003
corrida_5,180436.94817100008,197574.73741199996
corrida_5,191596.64510500003,180661.2568249999
corrida_5,193722.35510000013,178926.21624400004
corrida_5,174447.98510800005,190832.41852499993
corrida_5,206711.1710429999,155648.94488400003
corrida_5,203253.318174,168593.80639200006
corrida_5,180626.9955510001,196097.59547799994
corrida_5,200148.930797,174518.44845400006
corrida_5,203253.318174,168593.80639200006
corrida_5,172126.54922600006,198331.33263399993
corrida_5,191338.42899500008,192775.097139
corrida_5,172126.54922600006,198331.33263399993
corrida_5,180436.94817100008,197574.73741199996
corrida_5,202819.5095100001,170304.41388200008
