Corrida,Objetivo1,Objetivo2
corrida_1,112494.21002900001,93050.73533199998
corrida_1,103584.22162000004,106139.52199499999
corrida_1,115494.80464,90872.28661999997
corrida_1,111385.00157600001,94139.05997499997
corrida_1,97274.21239399999,112246.57430899997
corrida_1,99280.77355299999,110363.28652699999
corrida_1,111777.88195800001,93669.39398899997
corrida_1,92095.66895599996,116585.05779899997
corrida_1,110355.11857100003,95178.47894699998
corrida_1,113733.984947,92404.37433199998
corrida_1,116287.594406,90009.55721899998
corrida_1,115494.80464,90872.28661999997
corrida_1,95136.88498399997,115219.10809999998
corrida_1,114526.774713,91541.64493099997
corrida_1,111484.46255400001,93785.27836299999
corrida_1,110355.11857100003,95178.47894699998
corrida_1,108500.02658400004,95353.34201799998
corrida_1,115994.175002,90125.44159299998
corrida_1,115994.175002,90125.44159299998
corrida_1,117972.39615499998,89195.20932399997
corrida_1,111246.37989000001,94770.36974699998
corrida_1,110375.25410100001,94873.60300599998
corrida_1,103202.722766,107926.59580399998
corrida_1,110355.11857100003,95178.47894699998
corrida_1,90378.23888199999,126223.72095399999
corrida_1,101574.36298999998,109289.80680699999
corrida_1,113998.34259800002,92343.06894199998
corrida_1,115994.175002,90125.44159299998
corrida_1,107934.14278600003,97937.37505999999
corrida_1,95679.44100999998,113753.14976099998
corrida_1,94276.18373699998,115633.007595
corrida_1,117540.35506499998,89942.40346999998
corrida_1,117678.97675099998,89311.09369799997
corrida_1,93547.66662899997,116235.56647899999
corrida_1,113733.984947,92404.37433199998
corrida_1,116287.594406,90009.55721899998
corrida_1,103202.722766,107926.59580399998
corrida_1,94276.18373699998,115633.007595
corrida_1,103974.68591000001,104678.952654
corrida_1,115994.175002,90125.44159299998
corrida_1,93547.66662899997,116235.56647899999
corrida_1,110355.11857100003,95178.47894699998
corrida_1,90317.89601199998,129075.129557
corrida_1,106349.74027500002,98263.74245099997
corrida_1,114233.355309,91657.52930499999
corrida_1,101868.33582600002,108105.00202
corrida_1,96819.60500899998,113129.07905999999
corrida_1,108500.02658400004,95353.34201799998
corrida_1,90513.64268699996,121797.09051300003
corrida_1,108366.18387600002,97190.18091399998
corrida_1,117678.97675099998,89311.09369799997
corrida_1,111777.88195800001,93669.39398899997
corrida_1,104368.63756300003,101988.705961
corrida_1,104592.51265400002,99751.06078999997
corrida_1,94276.18373699998,115633.007595
corrida_1,113733.984947,92404.37433199998
corrida_1,95215.18701499997,114159.94363799998
corrida_1,103509.23405600002,107616.01627799998
corrida_1,97274.21239399999,112246.57430899997
corrida_1,104348.015773,103627.59505999999
corrida_1,115187.551876,90931.80023799998
corrida_1,101574.36298999998,109289.80680699999
corrida_1,90247.725173,131027.13824100001
corrida_1,107934.14278600003,97937.37505999999
corrida_1,103836.06422400002,105310.26242599999
corrida_1,112494.21002900001,93050.73533199998
corrida_1,99590.85555999998,109645.824351
corrida_1,97886.91128399999,111044.49467599997
corrida_1,95136.88498399997,115219.10809999998
corrida_1,95679.44100999998,113753.14976099998
corrida_1,103584.22162000004,106139.52199499999
corrida_1,109005.63241100003,95260.98836899998
corrida_1,115800.879839,90745.79650999997
corrida_1,98914.36474299998,111025.10090999998
corrida_1,116287.594406,90009.55721899998
corrida_1,90339.333053,128476.86393899999
corrida_1,117540.35506499998,89942.40346999998
corrida_1,91647.64710799998,117479.98020300001
corrida_1,103202.722766,107926.59580399998
corrida_1,101787.52617900001,108663.30586199998
corrida_1,114526.774713,91541.64493099997
corrida_1,112643.98093600002,92417.66000699995
corrida_1,97815.18837699998,112057.91844499997
corrida_1,94546.761783,115242.26134
